valid_time,mxtpr,mntpr,lsp,tcc,v10,u10,d2m,tp_mm
2004-01-01 00:00:00,5.6171417208e-06,3.719329848e-07,8.487701452800001e-06,0.20272583116,0.9478009044000001,6.65004212,277.8141128,0.019416809436800003
2004-01-01 06:00:00,4.8732757976e-06,1.7023086632000001e-06,8.277893152e-06,0.40894653192,-2.55829102,7.981806708000001,277.712466,0.013427734428
2004-01-01 12:00:00,3.862380932e-07,1.3351440360000002e-07,7.62939444e-07,0.38313720492000003,-4.215610324,7.123491236,276.20401880000003,0.0008201599024
2004-01-01 18:00:00,3.81469728e-08,1.90734864e-08,4.959106448e-07,0.40493774295999996,-4.978064595999999,6.540432148,275.7064388,0.0018310547048
2004-01-02 00:00:00,4.1961670640000004e-07,1.95503236e-07,9.727477984e-07,0.7950561556,-4.1723053,4.585666512,275.93776760000003,0.0021362304544
2004-01-02 06:00:00,9.5367432e-09,4.7683716e-09,1.90734864e-08,1.0,-4.0518939052,2.438814072,275.25489880000003,0.0011253356864
2004-01-02 12:00:00,9.05990604e-07,7.438659495999999e-07,4.310607876e-06,1.0,-0.9866485584,1.5838989224,275.7187888,0.0042533874544
2004-01-02 18:00:00,1.6784667768e-05,8.211135968e-06,5.409240728e-05,1.0,3.269492792,-0.46308410424,275.23133839999997,0.05409240728
2004-01-03 00:00:00,0.000334339142,0.000264148712,0.0010659790104,1.0,6.571091272,0.57171753052,277.39576120000004,1.0666656492
2004-01-03 06:00:00,0.000207529067836,7.781505564560001e-05,0.00040451049795999996,1.0,3.0365234543999997,2.4999108984,279.8564784,0.40525436396000003
2004-01-03 12:00:00,2.55584721776e-05,5.4311752788e-06,5.02586361944e-05,0.9366040076000001,-3.384724124,1.9387670879999999,280.8712692,0.050258636194400005
2004-01-03 18:00:00,4.4918059296e-06,9.155273184e-07,6.523132268e-06,0.7145263663999999,-1.95933288104,2.854706412,278.0926756,0.006542205736
2004-01-04 00:00:00,0.0,0.0,0.0,0.8809094244000001,-1.0279742368,3.34064454,276.7793096,0.0
2004-01-04 06:00:00,0.0,0.0,0.0,0.9861083996,-0.20328613040000001,2.1425695872,275.303584,0.0
2004-01-04 12:00:00,3.5285947999999996e-07,0.0,3.05175784e-07,1.0,2.977085576,1.9446533212,276.6373732,0.000305175784
2004-01-04 18:00:00,0.00010463714524640001,5.4750442544799996e-05,0.00021825790289199998,0.9999914560000001,3.51580262,2.926732816,278.1026976,0.236930845892
2004-01-05 00:00:00,7.2417259092e-05,5.9127807751999995e-06,4.9324035608000005e-05,1.0,2.9625475920000004,2.3475750648,280.4615132,0.07827758716800001
2004-01-05 06:00:00,1.5192031915600001e-05,2.384185806e-06,2.1305084136e-05,1.0,4.803616303999999,1.5537194848000002,281.9088968,0.021362304696000003
2004-01-05 12:00:00,6.0462951752000006e-06,1.2159347615999999e-06,1.0204315132e-05,1.0,5.995739732,2.4146478200000003,282.5350552,0.010299682532
2004-01-05 18:00:00,2.2029876688e-06,4.5776367280000004e-07,5.4740905376000006e-06,0.9953125036,4.351965948,3.0801056,282.8867684,0.0064277648376
2004-01-06 00:00:00,0.00022003173495999999,6.4864159216e-05,0.00024772644067999996,1.0,3.35437744,4.154868764000001,282.1021668,0.40870666848000003
2004-01-06 06:00:00,7.629394400000001e-07,0.0,0.0,0.18675415012,3.186538084,5.641441024,277.8611144,0.0016021728104000002
2004-01-06 12:00:00,0.0,0.0,0.0,0.377620849,2.899277948,5.728704860000001,277.1339292,0.0
2004-01-06 18:00:00,0.0,0.0,0.0,1.0,3.6497302200000004,1.1085394244000002,276.6427208,0.0
2004-01-07 00:00:00,0.00012822151387359998,2.0203590573999998e-05,0.00011638641431279999,1.0,7.537036683999999,-0.6304302932,281.633294,0.1514244075528
2004-01-07 06:00:00,1.4190673996399998e-05,9.0169907096e-06,1.2798309147199998e-05,1.0,9.285717792,0.37547912842000003,281.5097304,0.0356101995464
2004-01-07 12:00:00,1.25312804088e-05,6.7663193860000006e-06,1.1482238756e-05,0.7208410644,11.18270632,-0.9984497044,280.9734316,0.028648376227199998
2004-01-07 18:00:00,0.00023815155027999998,3.56626507556e-05,0.00028291702092,1.0,10.693417912,-1.23124939168,281.9345632,0.39102554143999996
2004-01-08 00:00:00,2.4061202628e-05,6.0272216776e-06,6.50405884e-06,0.9275708004000001,9.032870464,2.1826837288000003,280.1774276,0.049915313624
2004-01-08 06:00:00,5.3644180795999994e-05,9.384155334400001e-06,0.00010593414332079999,1.0,2.9762213252000005,-2.7101831008,279.6672944,0.13587951680080002
2004-01-08 12:00:00,0.00014432907,2.9773712255199997e-05,0.00025598526140000003,0.9515209948000001,1.5718866051999998,7.193914191999999,278.7627852,0.27782440467999997
2004-01-08 18:00:00,1.525878912e-07,5.72204592e-08,4.959106456e-07,0.7360082992,2.97341796,5.728776851999999,277.1780584,0.0004959106456
2004-01-09 00:00:00,3.242492656e-07,9.5367432e-08,8.773803704000001e-07,0.6516345224,3.51982484,6.231767568,277.04074280000003,0.0008773803704
2004-01-09 06:00:00,2.4414062776000003e-06,8.24928284e-07,4.1580200368e-06,0.7944030748,3.5757873399999998,7.654776032,275.74480719999997,0.007953643811999998
2004-01-09 12:00:00,4.11415096544e-05,2.5272369352e-06,1.11007689904e-05,0.2290856936,1.3873376403999997,7.0251812440000005,275.9654832,0.07421493607999999
2004-01-09 18:00:00,0.0,0.0,0.0,0.9643347184,1.9450311400000002,4.379980444,275.721254,0.0
2004-01-10 00:00:00,1.3494491428000002e-05,2.670288032e-07,1.3103485172e-05,0.9808386192,6.932929072,2.518510728,278.9586408,0.013046264672
2004-01-10 06:00:00,0.0,0.0,0.0,0.9932092324,2.6289007520000003,4.20976992,280.6309168,0.0
2004-01-10 12:00:00,6.0787199346399996e-05,2.002716088e-07,5.550384552e-06,0.9994360344000001,6.8492522959999995,3.367105712,281.02248960000003,0.03520965559519999
2004-01-10 18:00:00,2.48908992704e-05,8.106231744e-07,4.2724609072000005e-06,0.9893798859999999,4.249230968,5.609567256,280.4342488,0.039615631905599996
2004-01-11 00:00:00,0.00044034957992,4.44698334e-05,0.00016691207848,0.9777722176,8.677512256,4.175841664,281.902948,0.5926132148
2004-01-11 06:00:00,8.740425111999999e-06,2.0933151159999997e-06,4.9018859728e-06,0.18119262728,3.69355774,7.4204266599999995,275.8027984,0.020637512208000003
2004-01-11 12:00:00,5.3310394664e-06,2.317428604e-06,8.220672616800001e-06,0.8318847696,4.263557132,7.040308212,274.3617072,0.0182151792128
2004-01-11 18:00:00,1.525878904e-07,0.0,1.14440916e-07,0.130241698816,2.509944472,8.297675108,274.609136,0.000114440916
