Model,Threshold,Threshold_mm,N,Fraction_of_Test,CRPS,Coverage95,MPIW95,MeanPredStd
BU-LSTM,Q90,0.2957839960000001,463,0.11754252348311754,0.4130263128101101,0.6436285097192225,1.3509993832450056,0.3446490328142549
BU-LSTM,Q95,0.5740480409999992,238,0.06042142675806042,0.6384403312724335,0.4369747899159664,1.4164107810012565,0.36133592049999996
BU-LSTM,Q97.5,0.9321694997499979,106,0.02691038334602691,0.9427053353807591,0.18867924528301888,1.480874690834736,0.3777810976415094
BU-LSTM-Attention,Q90,0.2957839960000001,463,0.11754252348311754,0.39514760212628564,0.6695464362850972,1.37288781718352,0.350232919587473
BU-LSTM-Attention,Q95,0.5740480409999992,238,0.06042142675806042,0.6091042089005545,0.5,1.4459066518753951,0.36886051562184874
BU-LSTM-Attention,Q97.5,0.9321694997499979,106,0.02691038334602691,0.9027322663432988,0.2830188679245283,1.5147630242394792,0.38642623950943394
Probabilistic BiLSTM-Attention,Q90,0.2957839960000001,463,0.11754252348311754,0.4054631518321209,0.6479481641468683,1.379533974912464,0.3519283991425486
Probabilistic BiLSTM-Attention,Q95,0.5740480409999992,238,0.06042142675806042,0.6220772016379834,0.4957983193277311,1.4602892531798055,0.3725296139873949
Probabilistic BiLSTM-Attention,Q97.5,0.9321694997499979,106,0.02691038334602691,0.9145103460896965,0.3113207547169811,1.568509651495952,0.40013736575471703
