Experiment,N_seeds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,Delta_RMSE_mean,Delta_RMSE_std,Worse_than_Full_seeds
Full,5,0.24693098579282502,0.0020812018074326303,0.1201965615153312,0.0024708874119215335,0.18508359193801877,0.013748267567897715,0.0,0.0,0
Without_tcc,5,0.25081931932839246,0.0035230457391650137,0.12157874256372452,0.00236794574289133,0.15913221836090088,0.02367100892896412,0.003888333535567495,0.0051034415649172825,4
Without_mxtpr,5,0.2453691311376945,0.001198982386078829,0.12151281535625458,0.0012190827690172397,0.19539014101028443,0.007876701108830722,-0.001561854655130468,0.00267917154347379,1
