Model,N_seeds,NLL_mean,NLL_std,CRPS_mean,CRPS_std,Coverage95_mean,Coverage95_std,Coverage95_abs_error,MPIW95_mean,MPIW95_std,NegativeLowerBound95_Rate_mean,NegativeLowerBound95_Rate_std
BU-LSTM,5,-0.4873736917972565,0.023306393203630617,0.09425965776563688,0.0012671886986284245,0.955927900482356,0.0031278787166816907,0.00592790048235603,,,,
BU-LSTM-Attention (proposed),5,-0.46753238439559935,0.07576433349144936,0.09503647579824051,0.0013856455074397961,0.9581111957349581,0.003300330033003304,0.00811119573495811,,,,
Probabilistic BiLSTM-Attention,5,-0.435561156,0.11895192505289723,0.09638039124288827,0.0032347246458294516,0.9568418380299567,0.00766885375323333,0.006841838029956748,0.8118312189745819,0.07087497895456234,1.0,0.0
