Threshold,Threshold_mm,Test_N,Test_Fraction
Q90,0.2957839960000001,463,0.11754252348311754
Q95,0.5740480409999992,238,0.06042142675806042
Q97.5,0.9321694997499979,106,0.02691038334602691
