Feature,MeanAbsSHAP_mm
tcc,0.008883532159340875
v10,0.008605816333554695
sp,0.008322373500963053
mntpr,0.008137156648499264
d2m,0.0034065594790503367
mxtpr,0.002905548331265645
lsp,0.001844034131988885
