model,n_seeds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,NLL_mean,NLL_std,CRPS_mean,CRPS_std,Coverage_95_mean,Coverage_95_std
XGBoost,5,0.24392023313919603,0.0002437911268168678,0.11906218379735942,0.0004803161385615925,0.2048790216445923,0.0015899563369714534,,,,,,
BU-LSTM,5,0.24697059197283383,0.0012834562731956075,0.11912024319171902,0.0016162434441742912,0.18485087156295774,0.008472493375285257,-0.4873736917972565,0.023306393203630617,0.09425965776563688,0.0012671886986284245,0.955927900482356,0.0031278787166816907
BiLSTM-Attention,5,0.24286369493203153,0.0009628291763660218,0.118227644264698,0.002112334376853169,0.21174296140670776,0.006262450679478357,,,,,,
BU-LSTM-Attention (proposed),5,0.24693098579282502,0.0020812018074326303,0.1201965615153312,0.0024708874119215335,0.18508359193801877,0.013748267567897715,-0.46753238439559935,0.07576433349144936,0.09503647579824051,0.0013856455074397961,0.9581111957349581,0.003300330033003304
BiLSTM-NoAttention (control),5,0.24465612175545984,0.0012070388121062578,0.1183159351348877,0.001747055223134114,0.20005923509597778,0.007878778334151,,,,,,
