Model,N_seeds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
BiLSTM-Attention,5,0.24286369493203153,0.0009628291763660218,0.118227644264698,0.002112334376853169,0.21174296140670776,0.006262450679478357
XGBoost,5,0.24392023313919603,0.0002437911268168678,0.11906218379735942,0.0004803161385615925,0.2048790216445923,0.0015899563369714534
BiLSTM-NoAttention (control),5,0.24465612175545978,0.0012070388121062626,0.11831593513488765,0.0017470552231341101,0.20005923509597773,0.007878778334150991
BU-LSTM-Attention (proposed),5,0.24693098579282502,0.0020812018074326303,0.1201965615153312,0.0024708874119215335,0.18508359193801877,0.013748267567897715
BU-LSTM,5,0.24697059197283383,0.0012834562731956075,0.11912024319171902,0.0016162434441742912,0.18485087156295774,0.008472493375285257
Probabilistic BiLSTM-Attention,5,0.24884257124246786,0.0016884950540554226,0.12164793908596035,0.003686557953458611,0.17243415117263794,0.011233815675071703
