Experiment,Removed_Feature,N_Features,RMSE,MAE,R2,Delta_RMSE,Delta_MAE,Delta_R2
Full,None,7,0.2464133110316728,0.11761399358510971,0.18854296207427979,0.0,0.0,0.0
Without_mxtpr,mxtpr,6,0.244491805225469,0.12064296752214432,0.20114892721176147,-0.0019215058062037882,0.003028973937034607,0.01260596513748169
Without_mntpr,mntpr,6,0.2451539259047328,0.11861398816108704,0.19681626558303833,-0.001259385126939988,0.0009999945759773254,0.008273303508758545
Without_lsp,lsp,6,0.2456440904711475,0.11919824033975601,0.19360125064849854,-0.0007692205605253077,0.0015842467546463013,0.00505828857421875
Without_tcc,tcc,6,0.2538512830657872,0.11926153302192688,0.13881605863571167,0.007437972034114393,0.0016475394368171692,-0.049726903438568115
Without_v10,v10,6,0.2480535656484735,0.11808326840400696,0.17770403623580933,0.0016402546168007015,0.0004692748188972473,-0.010838925838470459
Without_sp,sp,6,0.24872821436902423,0.1218179240822792,0.1732250452041626,0.0023149033373514316,0.004203930497169495,-0.015317916870117188
Without_d2m,d2m,6,0.24563135878992767,0.12118224799633026,0.1936848759651184,-0.0007819522417451263,0.0035682544112205505,0.005141913890838623
