Regime,N,RMSE_BiLSTM_Attention,RMSE_XGBoost,Delta_RMSE_BiLSTM_minus_XGB,CI95_low,CI95_high,P_BiLSTM_better,P_XGBoost_better
All,3939,0.24284800569087328,0.24374980637007074,-0.0009018006791974564,-0.005147755033854442,0.0033444968784752237,0.6756,0.3244
Wet,3228,0.267166339968136,0.26742696610873273,-0.0002606261405967425,-0.004929197950210436,0.004436780228615586,0.557,0.443
Heavy_Q95,238,0.8784325133863816,0.8416556320533002,0.036776881333081435,0.021765415237083804,0.05297570937126727,0.0,1.0
