Model,RMSE,NLL,CRPS,Coverage95,Coverage95_abs_error,MPIW95,NegativeLowerBound95_Rate,MeanPredStd
BU-LSTM,0.24872988312531186,-0.4898500098124565,0.09408353859060219,0.9515105356689515,0.0015105356689515403,0.7506041795917228,1.0,0.19148417662579334
BU-LSTM-Attention (proposed),0.24644479048945622,-0.40749024705007414,0.09352125931984301,0.955064737242955,0.005064737242955086,0.7472737932497978,1.0,0.19063457266158923
Probabilistic BiLSTM-Attention,0.24812892533712652,-0.40150735324502823,0.09109062187701293,0.945925361766946,0.004074638233053984,0.682658211168297,1.0,0.1741507029090886
